date,year,n1,n2,n3,n4,n5,n6,div1_prize,div1_winners,url
23/12/2002,2002,1,11,18,19,39,40,0,0,https://lottery.hk/en/mark-six/results/2002-12-23
27/12/2002,2002,10,14,22,34,40,43,0,0,https://lottery.hk/en/mark-six/results/2002-12-27
31/12/2002,2002,10,18,19,28,40,44,"2,691,330",4,https://lottery.hk/en/mark-six/results/2002-12-31
2/1/2003,2003,5,6,16,23,26,27,"5,000,000",1,https://lottery.hk/en/mark-six/results/2003-01-02
7/1/2003,2003,9,10,12,26,38,43,0,0,https://lottery.hk/en/mark-six/results/2003-01-07
9/1/2003,2003,8,17,21,22,23,49,0,0,https://lottery.hk/en/mark-six/results/2003-01-09
14/1/2003,2003,7,11,13,28,32,33,"5,023,900",3,https://lottery.hk/en/mark-six/results/2003-01-14
16/1/2003,2003,2,34,36,39,40,42,0,0,https://lottery.hk/en/mark-six/results/2003-01-16
21/1/2003,2003,16,20,21,43,44,49,"6,067,045",2,https://lottery.hk/en/mark-six/results/2003-01-21
23/1/2003,2003,6,14,23,27,36,38,0,0,https://lottery.hk/en/mark-six/results/2003-01-23
28/1/2003,2003,5,10,25,30,41,46,"28,714,610",2,https://lottery.hk/en/mark-six/results/2003-01-28
30/1/2003,2003,4,5,6,7,8,28,"1,000,000",5,https://lottery.hk/en/mark-six/results/2003-01-30
4/2/2003,2003,7,12,20,27,28,43,0,0,https://lottery.hk/en/mark-six/results/2003-02-04
6/2/2003,2003,4,11,18,26,31,46,0,0,https://lottery.hk/en/mark-six/results/2003-02-06
11/2/2003,2003,11,22,23,28,38,40,0,0,https://lottery.hk/en/mark-six/results/2003-02-11
13/2/2003,2003,4,8,12,24,39,40,"12,605,075",2,https://lottery.hk/en/mark-six/results/2003-02-13
18/2/2003,2003,10,16,19,20,40,49,0,0,https://lottery.hk/en/mark-six/results/2003-02-18
20/2/2003,2003,1,13,16,24,41,48,"12,422,390",1,https://lottery.hk/en/mark-six/results/2003-02-20
25/2/2003,2003,13,19,23,28,42,45,"5,607,430",1,https://lottery.hk/en/mark-six/results/2003-02-25
27/2/2003,2003,4,9,12,21,25,34,0,0,https://lottery.hk/en/mark-six/results/2003-02-27
4/3/2003,2003,9,32,33,38,42,44,"10,616,660",1,https://lottery.hk/en/mark-six/results/2003-03-04
6/3/2003,2003,15,20,35,40,45,48,"5,000,000",1,https://lottery.hk/en/mark-six/results/2003-03-06
11/3/2003,2003,10,20,22,31,35,39,0,0,https://lottery.hk/en/mark-six/results/2003-03-11
13/3/2003,2003,2,3,20,21,43,49,"11,655,195",1,https://lottery.hk/en/mark-six/results/2003-03-13
18/3/2003,2003,8,10,22,23,24,35,"5,740,445",1,https://lottery.hk/en/mark-six/results/2003-03-18
20/3/2003,2003,13,14,21,23,39,42,0,0,https://lottery.hk/en/mark-six/results/2003-03-20
25/3/2003,2003,13,23,28,30,34,42,0,0,https://lottery.hk/en/mark-six/results/2003-03-25
27/3/2003,2003,9,21,22,26,37,48,"16,455,605",1,https://lottery.hk/en/mark-six/results/2003-03-27
1/4/2003,2003,12,17,30,40,43,48,0,0,https://lottery.hk/en/mark-six/results/2003-04-01
3/4/2003,2003,21,29,32,38,41,43,"6,379,850",2,https://lottery.hk/en/mark-six/results/2003-04-03
